Publication Date,Title,Description,Link
2023-07-14 08:00:00,"Пермские ученые придумали, как сделать безопаснее отечественные двигатели для самолетов 4.4","Чаще всего газотурбинные двигатели используют в авиации. Но и на земле им находят применение в газотурбинных установках на газоперекачивающих станциях. При их работе, из камеры сгорания в атмосферу выбрасываются продукты горения топлива, такие как оксиды азота, оксиды углерода, углеводороды. Все это негативно сказывается на окружающей среде. Ученые Пермского Политеха предложили в новых, более экологичных двигателях с малоэмиссионными камерами сгорания использовать систему автоматического управления, которая будет осуществлять мониторинг процесса организации горения, что позволит избежать аварийных режимов работы двигателя и обеспечит экологическую безопасность. Алгоритм управления включает встроенную полуэмпирическую математическую модель камеры сгорания, разработанную на основе физического уравнения Зельдовича, которая выполняет функцию виртуального сенсора для контроля за выбросами вредных веществ.","https://naked-science.ru/article/column/permskie-uchenye-pridumali-kak-sdelat
"
2023-07-14 09:00:00,"Социологи узнали, как изменились привычки уральцев после пандемии 4.5","Коронавирус изменил отношение людей к собственному телу и здоровью. Социологи Уральского федерального университета выяснили, насколько по сравнению с допандемийным периодом люди стали чаще применять методы и средства гигиены, заниматься спортом, соблюдать режим дня, который включает полноценный сон, правильное питание, оптимальное сочетание труда и отдыха.","https://naked-science.ru/article/column/sotsiologi-uznali-kak-izmenilis-privychki
"
2023-07-14 09:07:25,Астрономы впервые нашли звезды Магелланова Потока 5.1,"Между нашей Галактикой и ее карликовыми спутницами протянулся длинный Магелланов Поток газа и пыли. Астрономы давно и безуспешно пытались рассмотреть в нем отдельные звезды. Лишь теперь, используя наблюдения телескопа Gaia, удалось заметить первые из этих светил.","https://naked-science.ru/article/astronomy/nashli-zvezdy-magellanova-potoka
"
2023-07-14 11:00:00,В НИУ ВШЭ изучили стабильность систем связи 4.4,"Ученые Международной лаборатории динамических систем и приложений НИУ ВШЭ — Нижний Новгород обнаружили, что использование систем с гиперболическими соленоидальными аттракторами и репеллерами может стать проблемой при передаче сигналов связи. По мнению исследователей, результаты их работы в будущем помогут уменьшить влияние помех и обеспечить более стабильную передачу сигналов в системах связи.","https://naked-science.ru/article/column/v-niu-vshe-izuchili-stabilnost-sistem
"
2023-07-14 11:08:53,Искусственный интеллект помог понять магнитное поле Солнца 4.5,"Ученые из Грацского университета и Сколтеха совершили прорыв в солнечной физике: они создали компьютерную симуляцию на основе искусственного интеллекта, которая в близком к реальному времени режиме отражает состояние магнитного поля верхней атмосферы Солнца. Результаты исследования помогают лучше понять поведение звезды и ее влияние на так называемую космическую погоду.","https://naked-science.ru/article/column/iskusstvennyj-intellekt-pomog-ponyat
"
2023-07-14 12:41:42,В МФТИ апробировали новый подход к трансплантации клеток сердца 4.6,"Сердечно-сосудистые заболевания — основная причина летальных исходов: каждый год от них умирает порядка 17,9 миллиона человек. В течение жизни из-за стрессов и болезней накапливаются различные повреждения тканей, в том числе миокарда — мышцы, благодаря которой сердце сокращается и перекачивает кровь. Потенциально эта распространенная проблема может быть скорректирована с помощью клеточной терапии, и, хотя генерация сердечных клеток ex vivo — вне организма — возможна, конкретные практические подходы остаются неясными. Ученые МФТИ решили усовершенствовать метод трансплантации и разработали более эффективный путь доставки, способный не только пройти security иммунитета, но и сохранить сами клетки.","https://naked-science.ru/article/column/v-mfti-aprobirovali-novyj-podhod
"
2023-07-14 12:42:43,"Биологи обнаружили, что умные приматы живут дольше 6.5","Приматы различаются по уровню интеллекта не только на межвидовом, но и на внутривидовом уровне. Группа немецких биологов доказала, что чем умнее животное, тем дольше оно живет.","https://naked-science.ru/article/biology/smart-or-curiois
"
2023-07-14 12:57:27,"Ученые нашли самую холодную звезду, все еще излучающую радиоволны 7.5",Астрономы из Сиднейского университета обнаружили крошечную тусклую звезду — самую холодную из когда-либо зарегистрированных в радиодиапазоне.,"https://naked-science.ru/article/astronomy/cold-brown-dwarf
"
2023-07-14 13:36:31,Индийцы запустили к Луне планетоход 4.2,"Несмотря на большое число попыток, до сих пор высадить рабочие луноходы на Селене удавалось только СССР, США и Китаю. Учитывая ничтожную стоимость новой миссии, в случае ее успеха Индия покажет высокую зрелость своего космического сектора.","https://naked-science.ru/article/cosmonautics/indiitsy-zapustili-planetohod
"
2023-07-14 14:00:31,"Утвержден новый стандарт беспроводной связи, который в 100 раз быстрее Wi-Fi 4.6","Несколько компаний достаточно давно работают с технологией Light Fidelity, или Li-Fi, но теперь американские инженеры сделали важный шаг на пути к ее стандартизации.","https://naked-science.ru/article/hi-tech/novyj-standart-besprovodnoj-svyazi
"
2023-07-14 16:08:43,"Мессенджеры оказались полезнее для душевного здоровья, чем «зумы» 4.7","Австрийские ученые пришли к неожиданному выводу о том, что видеозвонки во время пандемии Covid-19 оказались совсем не такими значимыми для психологического здоровья по сравнению с личными встречами и общением в переписках через мессендежеры, электронную почту и SMS.","https://naked-science.ru/article/psy/messendzhery-okazalis-poleznee-dlya
"
2023-07-14 16:46:23,"АСИТ: устранить причины астмы, а не ее последствия 4.6","В современном мире слово «пандемия» часто употребляется вне связи с инфекционными заболеваниями. Так называют болезни, поражающие множество людей по всей планете. В этом смысле, несомненно, можно говорить о нарастающей пандемии бронхиальной астмы. По оценкам Всемирной организации здравоохранения и Global Asthma Network, астмой страдает в разных странах до 15-20 процентов популяции и с каждым годом регистрируется все больше новых случаев. Особенно высока распространенность бронхиальной астмы в детском возрасте. В России заболеваемость составляет почти семь процентов среди взрослых и 10 – среди детей. Вместе с советником по науке холдинга «Нацимбио» Госкорпорации Ростех Игорем Никитиным мы узнали, как можно контролировать заболевание.","https://naked-science.ru/article/column/asit-ustranit-prichiny-bronhialnoj-astmy
"
